dataset,technique,model,f1_score,processing_time,memory_usage
df_breast,none,KNN,0.9663067755877381,0.2986149787902832,464.7431640625
df_breast,none,LogReg,0.9806015022754119,0.12313175201416016,967.123046875
df_breast,none,GBC,0.9647103530754505,4.839174270629883,338.3837890625
df_breast,PCA,SVM,0.903119403182431,0.0918738842010498,205.244140625
df_breast,PCA,MLP,0.9032164233753235,2.0951173305511475,207.2265625
df_breast,PCA,Tree,0.8490505015540896,0.08308744430541992,207.09765625
df_breast,PCA,KNN,0.9001974426435122,0.1831071376800537,250.759765625
df_breast,PCA,LogReg,0.9049188277997015,0.11737465858459473,317.890625
df_breast,PCA,GBC,0.8656714179216614,0.9130642414093018,210.927734375
df_breast,IncPCA,SVM,0.903119403182431,0.1160130500793457,206.0859375
df_breast,IncPCA,MLP,0.9051110352699713,2.183012008666992,209.3583984375
